               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.028212,            0.037568,           0.0047659,             0.72406,             0.69231,             0.72282,             0.51172,            0.039727,            0.027919,             0.00847,            0.001882,            0.001882,            0.001882
                  84,            0.028319,            0.037159,           0.0048723,             0.72285,             0.67896,              0.7187,             0.50657,            0.039876,            0.027874,           0.0088904,            0.001783,            0.001783,            0.001783
                  85,            0.028188,            0.037144,           0.0046274,             0.75721,             0.67032,             0.72717,              0.5145,            0.039712,            0.027873,           0.0085165,            0.001684,            0.001684,            0.001684
                  86,            0.027457,            0.036756,           0.0043887,             0.77071,             0.67191,             0.72678,             0.51588,            0.039295,            0.027836,           0.0085237,            0.001585,            0.001585,            0.001585
                  87,            0.026565,            0.032425,           0.0039151,             0.76386,             0.65974,             0.72767,             0.52067,            0.038912,            0.028399,           0.0080802,            0.001486,            0.001486,            0.001486
                  88,            0.026071,            0.031997,           0.0034628,              0.7624,             0.66311,             0.72542,              0.5168,            0.039519,            0.028889,           0.0093396,            0.001387,            0.001387,            0.001387
                  89,            0.026117,            0.031613,           0.0035237,             0.72969,             0.67404,             0.71992,             0.51021,            0.039412,            0.029271,           0.0093736,            0.001288,            0.001288,            0.001288
                  90,            0.025294,            0.031249,           0.0032669,             0.74343,             0.67086,             0.72578,             0.51717,            0.039325,            0.029523,           0.0095233,            0.001189,            0.001189,            0.001189
                  91,            0.025629,            0.030697,           0.0034229,             0.74733,             0.66609,             0.72223,             0.51241,            0.039598,            0.029562,           0.0094998,             0.00109,             0.00109,             0.00109
                  92,             0.02417,            0.030673,           0.0030314,             0.75814,             0.65235,             0.71438,             0.50574,            0.039663,            0.030144,           0.0095627,            0.000991,            0.000991,            0.000991
                  93,            0.024756,            0.030421,           0.0030703,             0.78711,             0.64526,             0.71528,             0.50628,            0.039658,            0.029898,           0.0099084,            0.000892,            0.000892,            0.000892
                  94,            0.024373,            0.030014,           0.0032478,             0.76708,             0.66996,             0.71745,                0.51,            0.039477,            0.030076,           0.0098071,            0.000793,            0.000793,            0.000793
                  95,            0.024521,            0.030157,           0.0027081,             0.76156,             0.65766,             0.71959,             0.51208,            0.039438,            0.030219,           0.0092059,            0.000694,            0.000694,            0.000694
                  96,            0.024313,            0.029791,           0.0029085,             0.75658,              0.6647,             0.71976,             0.51528,            0.039505,            0.030521,           0.0097102,            0.000595,            0.000595,            0.000595
                  97,            0.023336,            0.029252,           0.0025678,             0.75209,             0.66424,             0.70992,              0.5059,            0.039634,            0.030734,            0.010331,            0.000496,            0.000496,            0.000496
                  98,            0.023826,            0.029208,           0.0027393,             0.73609,             0.67212,             0.70918,             0.50682,            0.039394,            0.030615,            0.010106,            0.000397,            0.000397,            0.000397
                  99,            0.023653,            0.029031,           0.0025874,              0.7376,              0.6792,             0.71236,              0.5089,            0.039489,            0.030649,            0.010125,            0.000298,            0.000298,            0.000298
